"iteminfoid","itemcode","itemdescrip","supplierprofid","editedon","editedby","created_at","updated_at"
340,"SR512SW","SR512SW",2974,"","","",""
341,"SR521SW","SR521SW",2974,"","","",""
342,"SR616SW","SR616SW",2974,"","","",""
343,"SR621SW","SR621SW",2974,"","","",""
344,"SR626SW","SR626SW",2974,"","","",""
345,"SR721SW","SR721SW",2974,"","","",""
346,"SR726SW","SR726SW",2974,"","","",""
347,"SR916SW","SR916SW",2974,"","","",""
348,"SR920SW","SR920SW",2974,"","","",""
349,"SR927SW","SR927SW",2974,"","","",""
350,"SR936SW","SR936SW",2974,"","","",""
351,"RSC0053","Tai Chi Chili VCO Liniment 30mlx144",2982,"","","",""
352,"RSC0054","Tai Chi Chili VCO Liniment 60mlx72",2982,"","","",""
353,"RSC0033","Tai Chi Ginger Medicated Plaster 10x15cm",2982,"","","",""
354,"RSC0032","Tai Chi Ginger Medicated Plaster Jr. 10x7.5cm",2982,"","","",""
355,"RSC0028","Tai Chi Ginger Rub 10g",2982,"","","",""
356,"RSC0029","Tai Chi Ginger Rub 20g",2982,"","","",""
357,"RSC0057","Tai Chi Gingeri VCO Liniment 30mlx144",2982,"","","",""
358,"RSC0058","Tai Chi Gingeri VCO Liniment 60mlx72",2982,"","","",""
359,"TLWC004","Tender Love Papaya Cleansing Wipes 20'sx120",2986,"","","",""
360,"TLWC002","Tender Love Papaya Cleansing Wipes 80'sx36",2986,"","","",""
361,"TLWB002","Tender Love Scented Baby Wipes 20'sx120",2986,"","","",""
362,"TLWB008","Tender Love Scented Baby Wipes 80'sx36",2986,"","","",""
363,"TLWC003","Tender Love Sweet Delight Cleansing 20'sx120",2986,"","","",""
364,"TLWC001","Tender Love Sweet Delight Cleansing 80'sx36",2986,"","","",""
365,"TLWB009","Tender Love Unscented Baby Wipes 80'sx36",2986,"","","",""
366,"UCWB002","Uni-Care Baby Wipes (Blue) 80+4'sx36",2986,"","","",""
367,"UCWB001","Uni-Care Baby Wipes (Green) 80+4'sx36",2986,"","","",""
368,"UCWB003","Uni-Care Baby Wipes (Violet) 80+4'sx36",2986,"","","",""
369,"ULSWB303","Uni-Love Scented Baby Wipes 32'sx36",2986,"","","",""
370,"ULSWB403","Uni-Love Unscented baby Wipes 32's x 36",2986,"","","",""
371,"WEL001","Wela Yema Candy (Original flavor) 1x50",2987,"","","",""
372,"WEL002","Wela Yema Candy (Ube flavor) 1x50",2987,"","","",""
373,"FGT00289","White Glue Scented 120g",2980,"","","",""
374,"FGT00288","White Glue Scented Sachet 10ml",2980,"","","",""
375,"GNF001275","Whole Grain Instant Oats 12x800g",2976,"","","",""
376,"GNF001275P","Whole Grain Instant Oats 12x800g + 1 pck 200g",2976,"","","",""
377,"GNF001268","Whole Grain Instant Oats 24x400g",2976,"","","",""
378,"GNF001268P","Whole Grain Instant Oats 24x400g W/ Get  Up&go",2976,"","","",""
379,"GNF001251","Whole Grain Instant Oats 48x200g",2976,"","","",""
380,"1TESTCODE","asdf",2970,"2019-10-14 21:21:14","admin","",""
381,"WH901","ROYU WH Aircon Outlet Set 20A   -  WH901",0,"2020-01-01 01:01:01","admin","",""
382,"WH605","ROYU WH-3 Gang  Switch  w/ LED     -WH605",0,"2020-01-01 01:01:01","admin","",""
383,"WH603","ROYU WH-2-Gang  Switch  w/ LED   -WH603",0,"2020-01-01 01:01:01","admin","",""
384,"WH601","ROYU WH-1 Gang  Switch  w/ LED     -WH601",0,"2020-01-01 01:01:01","admin","",""
385,"WH505","ROYU WH-3-Gang 1-Way Switch  - WH505",0,"2020-01-01 01:01:01","admin","",""
386,"WH111","ROYU WH-1 - Gang Outlet   -  WH111",0,"2020-01-01 01:01:01","admin","",""
387,"WD922","ROYU WD Flat Pin w/ Ground Duplex - WD922",0,"2020-01-01 01:01:01","admin","",""
388,"WD901","ROYU WD Aircon Outlet Set 20A   -  WD901",0,"2020-01-01 01:01:01","admin","",""
389,"WD605","ROYU WD 3  - Gang Switch w/ LED  -  WD605",0,"2020-01-01 01:01:01","admin","",""
390,"WD603","ROYU WD 2  - Gang Switch w/ LED  -  WD603",0,"2020-01-01 01:01:01","admin","",""
391,"WD601","ROYU WD 1  - Gang Switch w/ LED  -  WD601",0,"2020-01-01 01:01:01","admin","",""
392,"WD515","ROYU WD 3  - Gang 1 - Way Switch  -  WD515",0,"2020-01-01 01:01:01","admin","",""
393,"WD513","ROYU WD 2  - Gang 1 - Way Switch  -  WD513",0,"2020-01-01 01:01:01","admin","",""
394,"VGN01001","Toska Vodka 12 x 700ml",0,"2020-01-01 01:01:01","admin","",""
395,"TWL0103","Triple Whitening Lotion 24 x 340ml",0,"2020-01-01 01:01:01","admin","",""
396,"TWL0102","Triple Whitening Lotion 24 x 190ml",0,"2020-01-01 01:01:01","admin","",""
397,"TWL0101","Triple Whitening Lotion 48 x 90ml",0,"2020-01-01 01:01:01","admin","",""
398,"TWBW103","Triple Whitening Body Wash 24 x 340ml",0,"2020-01-01 01:01:01","admin","",""
399,"TWBW102","Triple Whitening Body Wash 24 x 190ml",0,"2020-01-01 01:01:01","admin","",""
400,"TWBW101","Triple Whitening Body Wash 48 x 90ml",0,"2020-01-01 01:01:01","admin","",""
401,"TWBBS02","Triple Whitening Beauty Bar 24 x 135g",0,"2020-01-01 01:01:01","admin","",""
402,"TWBBS01","Triple Whitening Beauty Bar 24 x 75g",0,"2020-01-01 01:01:01","admin","",""
403,"STM120","Sunpride Tocino Mix 120 x 120g",0,"2020-01-01 01:01:01","admin","",""
404,"SPM50","Sunpride Pork Barbecue Mix 240 x 50g",0,"2020-01-01 01:01:01","admin","",""
405,"SPM100","Sunpride Pork Barbecue Mix 120 x 100g",0,"2020-01-01 01:01:01","admin","",""
406,"RSB60","ROYU Safety Breaker 60A   -   RSB60",0,"2020-01-01 01:01:01","admin","",""
407,"RSB40","ROYU Safety Breaker 40A   -   RSB40",0,"2020-01-01 01:01:01","admin","",""
408,"RSB30","ROYU Safety Breaker 30A   -   RSB30",0,"2020-01-01 01:01:01","admin","",""
409,"RSB15","ROYU Safety Breaker 15A   -   RSB15",0,"2020-01-01 01:01:01","admin","",""
410,"RFC16ABK15","1.25mm2 Flat Cord SPT 2 Guage #16 Black   - RFC16ABK150",0,"2020-01-01 01:01:01","admin","",""
411,"RCB60","ROYU Mini Circuit Breaker  60A   -   RCB60",0,"2020-01-01 01:01:01","admin","",""
412,"RCB30","ROYU Mini Circuit Breaker  30A   -   RCB30",0,"2020-01-01 01:01:01","admin","",""
413,"RCB20","ROYU Mini Circuit Breaker  20A   -   RCB20",0,"2020-01-01 01:01:01","admin","",""
414,"RCB15","ROYU Mini Circuit Breaker  15A   -   RCB15",0,"2020-01-01 01:01:01","admin","",""
415,"LIGO079","Ligo Potato Chips Sour Crean & onion 14x160g",0,"2020-01-01 01:01:01","admin","",""
416,"LIG067","Ligo Sliced Yellow Cling Peaches 12x822g",0,"2020-01-01 01:01:01","admin","",""
417,"LIG064","Ligo Carne Norte Spicy EOC 48x175g",0,"2020-01-01 01:01:01","admin","",""
418,"LIG060","Ligo Carne Norte 48x210g",0,"2020-01-01 01:01:01","admin","",""
419,"LIG059","Ligo Carne Norte EOC 48x175g",0,"2020-01-01 01:01:01","admin","",""
420,"LIG058","Ligo Carne Norte 48x150g",0,"2020-01-01 01:01:01","admin","",""
421,"LIG051","Ligo Beef Loaf 48x175g",0,"2020-01-01 01:01:01","admin","",""
422,"LIG050","Ligo Beef Loaf 48x150g",0,"2020-01-01 01:01:01","admin","",""
423,"LIG049","Ligo Meat Loaf - Black Pepper 48x175g",0,"2020-01-01 01:01:01","admin","",""
424,"LIG047","Ligo Meat Loaf - Garlic 48x175g",0,"2020-01-01 01:01:01","admin","",""
425,"LIG045","Ligo Meat Loaf-Hot & Spicy 48x175g",0,"2020-01-01 01:01:01","admin","",""
426,"LIG043","Ligo Meat Loaf 48x200g",0,"2020-01-01 01:01:01","admin","",""
427,"LIG042","Ligo Meat Loaf 48x175g",0,"2020-01-01 01:01:01","admin","",""
428,"LIG040","Ligo Meat Loaf 48x100g",0,"2020-01-01 01:01:01","admin","",""
429,"LIG039","Ligo Squid in Natural Ink 48x425g",0,"2020-01-01 01:01:01","admin","",""
430,"LIG037","Ligo Tuna Flakes In Snflr Oil H&S 48x180g",0,"2020-01-01 01:01:01","admin","",""
431,"LIG036","Ligo Tuna Flakes In Sunflower Oil 48x180g",0,"2020-01-01 01:01:01","admin","",""
432,"LIG035","Ligo Tuna Flakes in Snflwr Oil Hot & Spicy 50x155g",0,"2020-01-01 01:01:01","admin","",""
433,"LIG034","Ligo Tuna Flakes in Sunflower Oil 50x155g",0,"2020-01-01 01:01:01","admin","",""
434,"LIG031","Ligo Prem. Mackarel in T. Sauce w/ Chili 48x425g",0,"2020-01-01 01:01:01","admin","",""
435,"LIG030","Ligo Prem. Mackarel in T. Sauce 48x425g",0,"2020-01-01 01:01:01","admin","",""
436,"LIG029","Ligo Prem. Sard. in T. Sauce Extra Hot 48x425g",0,"2020-01-01 01:01:01","admin","",""
437,"LIG028","Ligo Sard. in T. Sauce W/ Chili EOC 48x425g",0,"2020-01-01 01:01:01","admin","",""
438,"LIG027","Ligo Sardines in T. Sauce EOC 48x425g",0,"2020-01-01 01:01:01","admin","",""
439,"LIG026","Ligo Sardines in T. Sauce w/ Chili 48x425g",0,"2020-01-01 01:01:01","admin","",""
440,"LIG025","Ligo Sardines in T. Sauce 48x425g",0,"2020-01-01 01:01:01","admin","",""
441,"LIG018","Ligo Sardines Kaldereta Style 48x155g",0,"2020-01-01 01:01:01","admin","",""
442,"LIG016","Ligo Sardines Afritada Style 48x155g",0,"2020-01-01 01:01:01","admin","",""
443,"LIG012","Ligo Sardines SRIRACHA Flavor 48x155g",0,"2020-01-01 01:01:01","admin","",""
444,"LIG010","Ligo Premium Sard. in T. Sauce Extra Hot 100x155g",0,"2020-01-01 01:01:01","admin","",""
445,"LIG009","Ligo Premium Sard. in T. Sauce w/ Chili EOC100x155g",0,"2020-01-01 01:01:01","admin","",""
446,"LIG008","Ligo Premium Sard. in T. Sauce EOC 100x155g",0,"2020-01-01 01:01:01","admin","",""
447,"LIG007","Ligo Premium Mackerel in T. Sauce w/ Chili100x155g",0,"2020-01-01 01:01:01","admin","",""
448,"LIG004","Ligo Mackerel in T. Sauce w. Chili EOC 100x155g",0,"2020-01-01 01:01:01","admin","",""
449,"LIG003","Ligo Mackerel in T. Sauce EOC 100x155g",0,"2020-01-01 01:01:01","admin","",""
450,"LIG002","Ligo Sardines in T. Sauce w/ Chili EOC100x155g",0,"2020-01-01 01:01:01","admin","",""
451,"LIG001","Ligo Sardines in T. Sauce EOC100x155g",0,"2020-01-01 01:01:01","admin","",""
452,"KINO127","Master Kids Toothpaste Superman 50gx48",0,"2020-01-01 01:01:01","admin","",""
453,"KINO126","Master Kids Toothpaste Batman 50gx48",0,"2020-01-01 01:01:01","admin","",""
454,"KINO125","Master Kids S & C Batman 150mlx36",0,"2020-01-01 01:01:01","admin","",""
455,"KINO118","Ovale Face Lot Whitening 100mlx36",0,"2020-01-01 01:01:01","admin","",""
456,"KINO093P","B&B Kids S & C Strwbrry100mlx36 (Pink) w/ Free B&B Pwdr 60g",0,"2020-01-01 01:01:01","admin","",""
457,"KINO084P","Eskulin PS Cinderella 200mlx36 w/ Free B&B Powder 60ml",0,"2020-01-01 01:01:01","admin","",""
458,"KINO063","Intense Cologne Power 150mlx36",0,"2020-01-01 01:01:01","admin","",""
459,"KINO063","Intense Cologne Power 150mlx36",0,"2020-01-01 01:01:01","admin","",""
460,"KINO061","Intense Cologne Success 150mlx36",0,"2020-01-01 01:01:01","admin","",""
461,"KINO061","Intense Cologne Success 150mlx36",0,"2020-01-01 01:01:01","admin","",""
462,"KINO037","Ellips Hair Vitamin Smooth & Shiny 50mlx12 (yellow)",0,"2020-01-01 01:01:01","admin","",""
463,"KINO033P","Ellips Ser. Secret Garden 105ml w/ free SG 65ml",0,"2020-01-01 01:01:01","admin","",""
464,"KINO024P","Ellips Cologne Trixie 100ml w/ free Pixie 25ml",0,"2020-01-01 01:01:01","admin","",""
465,"KINO022P","Ellips Cologne Pixie 100ml w/ free Col. Gel Sunday 50ml",0,"2020-01-01 01:01:01","admin","",""
466,"J3U15","Firefly 3U Junior 15 Watts DL  -  J3U15",0,"2020-01-01 01:01:01","admin","",""
467,"J3U11","Firefly 3U Junior 11 Watts DL  -  J3U11",0,"2020-01-01 01:01:01","admin","",""
468,"J2U09","Firefly 2U Junior 9 Watts DL - J2U09",0,"2020-01-01 01:01:01","admin","",""
469,"J2U07","Firefly 2U Junior 7 Watts DL - J2U07",0,"2020-01-01 01:01:01","admin","",""
470,"J2U05","Firefly 2U Junior 5 Watts DL - J2U05",0,"2020-01-01 01:01:01","admin","",""
471,"IML0103","Intense Moisturizing Lotion 24 x 340ml",0,"2020-01-01 01:01:01","admin","",""
472,"IML0102","Intense Moisturizing Lotion 24 x 190ml",0,"2020-01-01 01:01:01","admin","",""
473,"IML0101","Intense Moisturizing Lotion 48 x 90ml",0,"2020-01-01 01:01:01","admin","",""
474,"IMBW103","Intense Moisturizing Body Wash 24 x 340ml",0,"2020-01-01 01:01:01","admin","",""
475,"IMBW102","Intense Moisturizing Body Wash 24 x 190ml",0,"2020-01-01 01:01:01","admin","",""
476,"IMBW101","Intense Moisturizing Body Wash 48 x 90ml",0,"2020-01-01 01:01:01","admin","",""
477,"IMBBS02","Intense Moisturizing Beauty Bar 24 x 135g",0,"2020-01-01 01:01:01","admin","",""
478,"IMBBS01","Intense Moisturizing Beauty Bar 24 x 75g",0,"2020-01-01 01:01:01","admin","",""
479,"HCP004FG","Keratin Hot Oil 20gx432 FG",0,"2020-01-01 01:01:01","admin","",""
480,"HCP003FG","Keratin Shampoo 20gx432 FG",0,"2020-01-01 01:01:01","admin","",""
481,"HCP002FG","Keratin Amino 20gx432 FG",0,"2020-01-01 01:01:01","admin","",""
482,"HCP001FG","Keratin Hair Spa 20gx432 FG",0,"2020-01-01 01:01:01","admin","",""
483,"HCN150","Holiday Carne Norte 100 x 150g",0,"2020-01-01 01:01:01","admin","",""
484,"HCN100","Holiday Carne Norte 100 x 100g",0,"2020-01-01 01:01:01","admin","",""
485,"HCB160","Holiday Corned Beef 100 x 160g",0,"2020-01-01 01:01:01","admin","",""
486,"HBL215","Holiday Beef Loaf 48 x 215g",0,"2020-01-01 01:01:01","admin","",""
487,"GT001015","GT Bleaching Soap 160 x 60g",0,"2020-01-01 01:01:01","admin","",""
488,"GT001013","GT Papaya Soap 160 x 60g",0,"2020-01-01 01:01:01","admin","",""
489,"GNF001268P2","Whole Grain Instant Oats 12x400g w/ foodkeeper",0,"2020-01-01 01:01:01","admin","",""
490,"GNF001244P2","Organic Instant Oats 12x800g w/ keeper& ecobag",0,"2020-01-01 01:01:01","admin","",""
491,"FLMHL150","MH Floodlight 150W w/ BIC - FLMHL150",0,"2020-01-01 01:01:01","admin","",""
492,"FLHI356/16","Low Bay Aluminum Reflector Design 16""  - FLHI356/16",0,"2020-01-01 01:01:01","admin","",""
493,"FINS50/F","Standard Lamp Frosted 50W 220V  -  FINS50/F",0,"2020-01-01 01:01:01","admin","",""
494,"FINS25/F","Standard Lamp Frosted 25W 220V  -  FINS25/F",0,"2020-01-01 01:01:01","admin","",""
495,"FINS100 /F","Standard Lamp Frosted 100W  220V   FINS100 /F",0,"2020-01-01 01:01:01","admin","",""
496,"FINS10/F","Standard Lamp Frosted 10W   FINS10/F",0,"2020-01-01 01:01:01","admin","",""
497,"FHIMH150/L","Metal Halide 150W R7S Linear - FHIMH150/L",0,"2020-01-01 01:01:01","admin","",""
498,"FF0094902","FF Cherry Sugar-Free 12(24x25g)",0,"2020-01-01 01:01:01","admin","",""
499,"FEL534","Firefly 28 LEd Handy Lamp",0,"2020-01-01 01:01:01","admin","",""
500,"FEDSW101","Surface MOunted Snap Switch  -  FEDSW101",0,"2020-01-01 01:01:01","admin","",""
501,"FEDPL202","Firefly Heavy Duty Rubber Plug   -  FEDPL202",0,"2020-01-01 01:01:01","admin","",""
502,"FEDPL201","Firefly Regular Rubber Plug   -   FEDPL201",0,"2020-01-01 01:01:01","admin","",""
503,"FEDPL105","Unerversal Adapter  -  FEDPL105",0,"2020-01-01 01:01:01","admin","",""
504,"FEDPL103","Round to Flat Adapter   -   FEDPL103",0,"2020-01-01 01:01:01","admin","",""
505,"FEDPL101","Firefly Regular Adapter  -  FEDPL101",0,"2020-01-01 01:01:01","admin","",""
506,"FEDOU203","Firefly Flat Pin Convenience Outlet 3-Gang  -  FEDOU203",0,"2020-01-01 01:01:01","admin","",""
507,"FEDOU-104","Surface Type Quan Con Outlet      -   FEDOU-104",0,"2020-01-01 01:01:01","admin","",""
508,"FEDOU-103","Surface Type Triple Con Outlet     -   FEDOU-103",0,"2020-01-01 01:01:01","admin","",""
509,"FEDOU-102","Surface Type Double Con Outlet   -   FEDOU-102",0,"2020-01-01 01:01:01","admin","",""
510,"FECLB22","Electronic Circular Set 22W   FECLB22",0,"2020-01-01 01:01:01","admin","",""
511,"FBI214DL","Firefly PRO LED Bulb 14W DL E27 - FBI214DL",0,"2020-01-01 01:01:01","admin","",""
512,"FBI210DL","Firefly PRO LED Bulb 10w DLE 27 - FBI210DL",0,"2020-01-01 01:01:01","admin","",""
513,"EEL544","Ecolum  9-LED Mega Torch Lamp    -  EEL544",0,"2020-01-01 01:01:01","admin","",""
514,"EEL543","Ecolum 7-LED Mega Torch Lamp   -  EEL543",0,"2020-01-01 01:01:01","admin","",""
515,"EEL541R","Ecolum Handy Torch Light  Red  EEL541R",0,"2020-01-01 01:01:01","admin","",""
516,"EEL541G","Ecolum Handy Torch Light Green   EEL541G",0,"2020-01-01 01:01:01","admin","",""
517,"EEL541B","Ecolum Handy Torch Light Blue   EEL541B",0,"2020-01-01 01:01:01","admin","",""
518,"EBI103DL","Firefly LED Bulb 3W DL E27   -   EBI103DL",0,"2020-01-01 01:01:01","admin","",""
519,"CT4.0X300","Cable Tie L: 300mm ; W: 3.5mm,  - CT4.0X300",0,"2020-01-01 01:01:01","admin","",""
520,"CT3.0X150MM","Cable Tie 150mmL, 3W (black)",0,"2020-01-01 01:01:01","admin","",""
521,"CT2.5X60-","Cable Tie L: 60mm ; W: 2.5mm, 8LBS , NYLON  - CT2.5X60",0,"2020-01-01 01:01:01","admin","",""
522,"CT2.5X100","Cable Tie L: 100mm ; W:2.5mm, 8LBS  -  CT2.5X100",0,"2020-01-01 01:01:01","admin","",""
523,"CS004001","Orchid Triple Sec Liqueur 12 x 700ml",0,"2020-01-01 01:01:01","admin","",""
524,"CGC001004","Premium Pork Luncheon Meat ( round ) 48 x 170g",0,"2020-01-01 01:01:01","admin","",""
525,"CGC001002","Premium Ham Luncheon Meat ( rec ) 24 x 340g",0,"2020-01-01 01:01:01","admin","",""
526,"CGC001001","Premium Pork Luncheon Meat ( round ) 24 x 397g",0,"2020-01-01 01:01:01","admin","",""
527,"CF209004","Caferite 3in1 White& Creamy TWINPACK 23g",0,"2020-01-01 01:01:01","admin","",""
528,"CF209003","Caferite Freez Dried Gold Original 28g",0,"2020-01-01 01:01:01","admin","",""
529,"CF209002","Caferite 3in1 Rich & Strong 20g",0,"2020-01-01 01:01:01","admin","",""
530,"CBI303DL","Ecolum LED Bulb 3W DL E27  - CBI303DL",0,"2020-01-01 01:01:01","admin","",""
531,"CBI203DL","Ecolum LED Bulb 3W DL E27 -  CBI203DL",0,"2020-01-01 01:01:01","admin","",""
532,"830366","Complete Care Herbal Toothpaste 8x6 x 100g",0,"2020-01-01 01:01:01","admin","",""
533,"3U23","Firefly XEU38-23W 3U 23W    -  3U23",0,"2020-01-01 01:01:01","admin","",""
534,"3U20","Firefly XEU38-20W 3U 20W    -  3U20",0,"2020-01-01 01:01:01","admin","",""
535,"3U18D","Firefly XEU38-18W 3U 18Watt DL  -  3U18D",0,"2020-01-01 01:01:01","admin","",""
536,"3SB71-50A","SS Mini CB, 3-Pole,50A, Un 400v, 10kA - 3SB71-63-3P50A10K",0,"2020-01-01 01:01:01","admin","",""
537,"3SB71-20A","SS Mini CB, 3-Pole,20A, Un 400v, 10kA - 3SB71-63-3P20A10K",0,"2020-01-01 01:01:01","admin","",""
538,"3SB71-16A","SS Mini CB, 3-Pole, 16A, Un 400v, 10kA - 3SB71-63-3P16A10K",0,"2020-01-01 01:01:01","admin","",""
539,"3S24","Firefly XEU38-24T Spiral 24W - 3S24",0,"2020-01-01 01:01:01","admin","",""
540,"3S20","Firefly XEU38-20T Spiral 20W - 3S20",0,"2020-01-01 01:01:01","admin","",""
541,"312465964","Perwoll Color SUP 16 x 900ml",0,"2020-01-01 01:01:01","admin","",""
542,"312465506","Vernel Antibac - Lavender 288 x 35ml",0,"2020-01-01 01:01:01","admin","",""
543,"312462840","Vernel Antibac - Wild Rose 24 x 400ml",0,"2020-01-01 01:01:01","admin","",""
544,"312462758","Perwoll Classic Liquid Detergent 900ml- Refill 16 x 900ml",0,"2020-01-01 01:01:01","admin","",""
545,"312461638","Vernel Antibac - Wild Rose - Refill 16 x 1 Liter",0,"2020-01-01 01:01:01","admin","",""
546,"312461604","Dutch Cleanser Regular- Refill 48 x 350g",0,"2020-01-01 01:01:01","admin","",""
547,"312283360","Vernel Antibac - Blue Sky 288 x 35ml",0,"2020-01-01 01:01:01","admin","",""
548,"312283148","Vernel Antibac - Wild Rose 288 x 35ml",0,"2020-01-01 01:01:01","admin","",""
549,"2U13D","Firefly XEU22-13W 2U 13 Watts DL  -  2U13D",0,"2020-01-01 01:01:01","admin","",""
550,"100126","Fundador Solera 12 x 700ml",0,"2020-01-01 01:01:01","admin","",""
551,"100119","Fundador Solera 12 x 1L",0,"2020-01-01 01:01:01","admin","",""
552,"1","Quick Cooking Oats 12x800g + 2pcs Get Up&Go",0,"2020-01-01 01:01:01","admin","",""
553,"2","Instant Oats  12x800g + 2pcs Get Up&Go",0,"2020-01-01 01:01:01","admin","",""
554,"3","Domecq Solera 1L",0,"2020-01-01 01:01:01","admin","",""
555,"4","Aqua Limpyo Kalamansi (Green) 850ml",0,"2020-01-01 01:01:01","admin","",""
556,"5","Aqua Limpyo Lemon (Yellow) 850ml",0,"2020-01-01 01:01:01","admin","",""
557,"6","Aqua Limpyo Anti-Bac (Blue) 850ml",0,"2020-01-01 01:01:01","admin","",""
558,"7","Aqua Limpyo Kalamansi (Green) 3.4L",0,"2020-01-01 01:01:01","admin","",""
559,"8","Aqua Limpyo Lemon (Yellow) 3.4L",0,"2020-01-01 01:01:01","admin","",""
560,"9","Aqua Limpyo Anti-Bac (Blue) 3.4L",0,"2020-01-01 01:01:01","admin","",""
561,"10","Xiencia Laymax (Orange) 5g",0,"2020-01-01 01:01:01","admin","",""
562,"11","Xiencia Meucotil (Blue) 5g",0,"2020-01-01 01:01:01","admin","",""
563,"12","Xiencia Coximinator (Black) 5g",0,"2020-01-01 01:01:01","admin","",""
564,"13","Xiencia Enhancer (Yellow) 5g",0,"2020-01-01 01:01:01","admin","",""
565,"14","Xiencia Liver Extract Injectable 10ml",0,"2020-01-01 01:01:01","admin","",""
566,"15","Xiencia Liver Extract Injectable 100ml",0,"2020-01-01 01:01:01","admin","",""
567,"16","Xiencia Amino Injectable 10ml",0,"2020-01-01 01:01:01","admin","",""
568,"17","Xiencia Amino Injectable 100ml",0,"2020-01-01 01:01:01","admin","",""
569,"18","Xiencia Dewormer 250ml",0,"2020-01-01 01:01:01","admin","",""
570,"19","Mushroom Whole Choice 198g",0,"2020-01-01 01:01:01","admin","",""
571,"20","Mushroom Whole Choice 400g",0,"2020-01-01 01:01:01","admin","",""
572,"21","Mushroom P&S 400g",0,"2020-01-01 01:01:01","admin","",""
573,"22","Holiday Spicy Beef Loaf 100 x 100g",0,"2020-01-01 01:01:01","admin","",""
574,"23","Holiday Spicy Beef Loaf 100 x 150g",0,"2020-01-01 01:01:01","admin","",""
575,"24","Holiday Beef Loaf 100 x 100g",0,"2020-01-01 01:01:01","admin","",""
576,"25","Holiday Beef Loaf 100 x 150g",0,"2020-01-01 01:01:01","admin","",""
577,"26","Holiday Corned Beef 48 x 215g",0,"2020-01-01 01:01:01","admin","",""
578,"LIG001","Ligo Sardines in T. Sauce EOC100x155g",6001,"","","",""
579,"LIG002","Ligo Sardines in T. Sauce w/ Chili EOC100x155g",6001,"","","",""
580,"LIG003","Ligo Mackerel in T. Sauce EOC 100x155g",6001,"","","",""
581,"LIG008","Ligo Premium Sard. in T. Sauce EOC 100x155g",6001,"","","",""
582,"LIG009","Ligo Premium Sard. in T. Sauce w/ Chili EOC100x155g",6001,"","","",""
583,"LIG010","Ligo Premium Sard. in T. Sauce Extra Hot 100x155g",6001,"","","",""
584,"LIG012","Ligo Sardines SRIRACHA Flavor 48x155g",6001,"","","",""
585,"LIG016","Ligo Sardines Afritada Style 48x155g",6001,"","","",""
586,"LIG018","Ligo Sardines Kaldereta Style 48x155g",6001,"","","",""
587,"LIG025","Ligo Sardines in T. Sauce 48x425g",6001,"","","",""
588,"LIG026","Ligo Sardines in T. Sauce w/ Chili 48x425g",6001,"","","",""
589,"LIG027","Ligo Sardines in T. Sauce EOC 48x425g",6001,"","","",""
590,"LIG028","Ligo Sard. in T. Sauce W/ Chili EOC 48x425g",6001,"","","",""
591,"LIG029","Ligo Prem. Sard. in T. Sauce Extra Hot 48x425g",6001,"","","",""
592,"LIG030","Ligo Prem. Mackarel in T. Sauce 48x425g",6001,"","","",""
593,"LIG031","Ligo Prem. Mackarel in T. Sauce w/ Chili 48x425g",6001,"","","",""
594,"LIG034","Ligo Tuna Flakes in Sunflower Oil 50x155g",6001,"","","",""
595,"LIG035","Ligo Tuna Flakes in Snflwr Oil Hot & Spicy 50x155g",6001,"","","",""
596,"LIG036","Ligo Tuna Flakes In Sunflower Oil 48x180g",6001,"","","",""
597,"LIG037","Ligo Tuna Flakes In Snflr Oil H&S 48x180g",6001,"","","",""
598,"LIG039","Ligo Squid in Natural Ink 48x425g",6001,"","","",""
599,"LIG040","Ligo Meat Loaf 48x100g",6001,"","","",""
600,"LIG042","Ligo Meat Loaf 48x175g",6001,"","","",""
601,"LIG043","Ligo Meat Loaf 48x200g",6001,"","","",""
602,"LIG045","Ligo Meat Loaf-Hot & Spicy 48x175g",6001,"","","",""
603,"LIG047","Ligo Meat Loaf - Garlic 48x175g",6001,"","","",""
604,"LIG049","Ligo Meat Loaf - Black Pepper 48x175g",6001,"","","",""
605,"LIG050","Ligo Beef Loaf 48x150g",6001,"","","",""
606,"LIG051","Ligo Beef Loaf 48x175g",6001,"","","",""
607,"LIG058","Ligo Carne Norte 48x150g",6001,"","","",""
608,"LIG059","Ligo Carne Norte EOC 48x175g",6001,"","","",""
609,"LIG060","Ligo Carne Norte 48x210g",6001,"","","",""
610,"LIG064","Ligo Carne Norte Spicy EOC 48x175g",6001,"","","",""
611,"LIG067","Ligo Sliced Yellow Cling Peaches 12x822g",6001,"","","",""
612,"DRA001","Dr. Alvin Kojic Acid Soap 135gx72",6002,"","","",""
613,"DRA002","Dr. Alvin Kojic Acid Soap by 2's 135gx24",6002,"","","",""
614,"DRA003","Dr. Alvin Kojic Acid Soap by 3's 90gx36",6002,"","","",""
615,"DRA004","Dr. Alvin Kojic Acid Soap by 3's 65gx32",6002,"","","",""
616,"DRA005","Dr. Alvin Kojic Acid Soap Pillow Pck 65gx96",6002,"","","",""
617,"DRA006","Dr. Alvin Papaya Soap 135gx72",6002,"","","",""
618,"DRA007","Dr. Alvin Papaya Soap by 2's 135gx24",6002,"","","",""
619,"DRA008","Dr. Alvin Papaya Soap 90gx96",6002,"","","",""
620,"DRA009","Dr. Alvin Papaya Soap by 3's 90gx36",6002,"","","",""
