"profid","accountname","fname","lname","mname","bday","memdate","acctstat","address","gender","civilstat","remarks","proftype","profpic","profgroup","previd","billname","shipname","billaddr1","billaddr2","billcity","shipaddr1","shipaddr2","shipcity","area","kobid","contact","encodedby","encodedon","editedby","editedon","salesperson","clientgroupid","pricecodeid","shipperid","hasbranches","tin"
633,"DARNICON ENTERPRISES"," "," "," ","1990-01-01","1990-01-01",1,"CANSOJONG TALISAY",1,1," ",1,"",99,"DAR013","","","CANSOJONG TALISAY","","","CANSOJONG TALISAY","","","#N/A",20,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
634,"DARWIN STORE - CAG-OLANGO"," "," "," ","1990-01-01","1990-01-01",1,"CAG-OLANGO, LEYTE",1,1," ",1,"",99,"DAR014","","","","","CAG-OLANGO, LEYTE","","","CAG-OLANGO, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
635,"DAV & ON ENT. - CAMOTES"," "," "," ","1990-01-01","1990-01-01",1,"PUERTOBELLO CAMOTES",1,1," ",1,"",99,"DAV000","","","","","PUERTOBELLO CAMOTES","","","PUERTOBELLO CAMOTES","Cebu",14,"","","","","","1",1,1,"0",0,""
636,"DAVEN STORE - DANAO"," "," "," ","1990-01-01","1990-01-01",1,"PM, DANAO CITY",1,1," ",1,"",99,"DAV001","","","","","PM, DANAO CITY","","","PM, DANAO CITY","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
637,"DAVID STORE - STA. FE"," "," "," ","1990-01-01","1990-01-01",1,"STA. FE BANTAYAN",1,1," ",1,"",99,"DAV002","","","","","STA. FE BANTAYAN","","","STA. FE BANTAYAN","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
638,"DAVE STORE - SAN FRANCISCO"," "," "," ","1990-01-01","1990-01-01",1,"SAN FRANCISCO, CAMOTES",1,1," ",1,"",99,"DAV006","","","","","SAN FRANCISCO, CAMOTES","","","SAN FRANCISCO, CAMOTES","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
639,"DAVE STORE - TAFT"," "," "," ","1990-01-01","1990-01-01",1,"TAFT, LEYTE",1,1," ",1,"",99,"DAV008","","","","","TAFT, LEYTE","","","TAFT, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
640,"DAVID STORE - ESPERANZA"," "," "," ","1990-01-01","1990-01-01",1,"ESPERANZA, SAN FRANCISCO",1,1," ",1,"",99,"DAV009","","","","","ESPERANZA, SAN FRANCISCO","","","ESPERANZA, SAN FRANCISCO","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
641,"DAYA STORE - OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"OSLOB CEBU",1,1," ",1,"",99,"DAY006","","","","","OSLOB CEBU","","","OSLOB CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
642,"D & B STORE - ORMOC"," "," "," ","1990-01-01","1990-01-01",1,"ORMOC CITY",1,1," ",1,"",99,"DB0000","","","","","ORMOC CITY","","","ORMOC CITY","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
643,"D'BLAINE STORE - CC"," "," "," ","1990-01-01","1990-01-01",1,"CC",1,1," ",1,"",99,"DBL000","","","","","CC","","","CC","#N/A",15,"","","","","","EDRYL ABALAYAN",1,1,"0",0,""
644,"D & C STORE - DAAN BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"DAAN BANTAYAN",1,1," ",1,"",99,"DC0000","","","","","DAAN BANTAYAN","","","DAAN BANTAYAN","Cebu",20,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
645,"D & C STORE - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"SOGOD, CEBU",1,1," ",1,"",99,"DC0001","","","","","SOGOD, CEBU","","","SOGOD, CEBU","Cebu",20,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
646,"DCE STORE - SOGOD"," "," "," ","1990-01-01","1990-01-01",1,"SOGOD CEBU",1,1," ",1,"",99,"DCE000","","","","","SOGOD CEBU","","","SOGOD CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
647,"DDS STORE - MAASIN"," "," "," ","1990-01-01","1990-01-01",1,"MAASIN LEYTE",1,1," ",1,"",99,"DDS000","","","","","MAASIN LEYTE","","","MAASIN LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
648,"DEAN'S STORE"," "," "," ","1990-01-01","1990-01-01",1,"ZONE 1 BOMBEL CANDUMAN",1,1," ",1,"",99,"DEA002","","","ZONE 1 BOMBEL CANDUMAN","","","ZONE 1 BOMBEL CANDUMAN","","","Cebu",15,"","","","","","Romnick Remolado",1,1,"0",0,""
649,"DEJITO STORE - BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON",1,1," ",1,"",99,"DEJ001","","","","","BORBON","","","BORBON","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
650,"DEJAMBE STORE - ISABEL"," "," "," ","1990-01-01","1990-01-01",1,"ISABEL LEYTE",1,1," ",1,"",99,"DEJ002","","","","","ISABEL LEYTE","","","ISABEL LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
651,"DELIMA STORE - ALOGUINSAN"," "," "," ","1990-01-01","1990-01-01",1,"ALOGUINSAN CEBU",1,1," ",1,"",99,"DEL007","","","","","ALOGUINSAN CEBU","","","ALOGUINSAN CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
652,"DEL PHARMACY - ORMOC"," "," "," ","1990-01-01","1990-01-01",1,"ORMOC LEYTE",1,1," ",1,"",99,"DEL011","","","","","ORMOC LEYTE","","","ORMOC LEYTE","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
653,"DELVIE STORE - ANAHAWAN"," "," "," ","1990-01-01","1990-01-01",1,"ANAHAWAN, S. LEYTE",1,1," ",1,"",99,"DEL016","","","","","ANAHAWAN, S. LEYTE","","","ANAHAWAN, S. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
654,"DELIA STORE - SAN ROQUE"," "," "," ","1990-01-01","1990-01-01",1,"SAN ROQUE, N. SAMAR",1,1," ",1,"",99,"DEL024","","","","","SAN ROQUE, N. SAMAR","","","SAN ROQUE, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
655,"DELA CRUZ PHARMACY-SAN ISDRO"," "," "," ","1990-01-01","1990-01-01",1," SAN ISIDRO, SAMAR",1,1," ",1,"",99,"DEL025","","","",""," SAN ISIDRO, SAMAR","",""," SAN ISIDRO, SAMAR","Leyte",7,"","","","","","PHILIP ESCOL",1,1,"0",0,""
656,"DEM STORE - VILLABA"," "," "," ","1990-01-01","1990-01-01",1,"VILLABA, LEYTE",1,1," ",1,"",99,"DEM003","","","","","VILLABA, LEYTE","","","VILLABA, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
657,"DENISA STORE - DOLORES"," "," "," ","1990-01-01","1990-01-01",1,"DOLORES LEYTE",1,1," ",1,"",99,"DEN005","","","","","DOLORES LEYTE","","","DOLORES LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
658,"DENZ STORE - MANDAUE CITY"," "," "," ","1990-01-01","1990-01-01",1,"MANDAUE CITY",1,1," ",1,"",99,"DEN014","","","","","MANDAUE CITY","","","MANDAUE CITY","#N/A",15,"","","","","","JEREMIAH COMPACION",1,1,"0",0,""
659,"DEN DEN STORE - TUDELA"," "," "," ","1990-01-01","1990-01-01",1,"TUDELA, CEBU",1,1," ",1,"",99,"DEN015","","","","","TUDELA, CEBU","","","TUDELA, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
660,"DENNY'S RESTO BAR - BASS DIOT"," "," "," ","1990-01-01","1990-01-01",1,"BASS DIOT",1,1," ",1,"",99,"DEN016","","","","","BASS DIOT","","","BASS DIOT","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
661,"DE PAZ STORE - DULAG"," "," "," ","1990-01-01","1990-01-01",1,"DULAG, LEYTE",1,1," ",1,"",99,"DEP000","","","","","DULAG, LEYTE","","","DULAG, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
662,"DESING STORE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN CEBU",1,1," ",1,"",99,"DES000","","","","","BANTAYAN CEBU","","","BANTAYAN CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
663,"D & E STORE - OSLOB"," "," "," ","1990-01-01","1990-01-01",1,"OSLOB, CEBU",1,1," ",1,"",99,"DES005","","","","","OSLOB, CEBU","","","OSLOB, CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
664,"DEVON STORE - LOPIDEBIGA"," "," "," ","1990-01-01","1990-01-01",1,"LOPIDEBIGA, N. SAMAR",1,1," ",1,"",99,"DEV001","","","","","LOPIDEBIGA, N. SAMAR","","","LOPIDEBIGA, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
665,"DHALVIN STORE - LEYTE"," "," "," ","1990-01-01","1990-01-01",1,"LEYTE",1,1," ",1,"",99,"DHA002","","","","","LEYTE","","","LEYTE, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
666,"DIANE & TINA STORE - TOLEDO"," "," "," ","1990-01-01","1990-01-01",1,"TOLEDO CEBU",1,1," ",1,"",99,"DIA000","","","","","TOLEDO CEBU","","","TOLEDO CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
667,"DIANE STORE - BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"BANTAYAN, CEBU",1,1," ",1,"",99,"DIA004","","","","","BANTAYAN, CEBU","","","BANTAYAN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
668,"DIAN STORE - MC ARTHUR"," "," "," ","1990-01-01","1990-01-01",1,"MC ARTHUR, LEYTE",1,1," ",1,"",99,"DIA005","","","","","MC ARTHUR, LEYTE","","","MC ARTHUR, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
669,"DIAN STORE - CALUBIAN"," "," "," ","1990-01-01","1990-01-01",1,"CALUBIAN, LEYTE",1,1," ",1,"",99,"DIA006","","","","","CALUBIAN, LEYTE","","","CALUBIAN, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
670,"DIAN STORE - ORMOC"," "," "," ","1990-01-01","1990-01-01",1,"ORMOC CITY, LEYTE",1,1," ",1,"",99,"DIA007","","","","","ORMOC CITY, LEYTE","","","ORMOC CITY, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
671,"DIDING PHARMACY"," "," "," ","1990-01-01","1990-01-01",1,"MANALILI ST.CEBU",1,1," ",1,"",99,"DID002","","","MANALILI ST.","","CEBU","MANALILI ST.","","CEBU","#N/A",8,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
672,"DIN DIN STORE - TUDELA"," "," "," ","1990-01-01","1990-01-01",1,"TUDELA, CAMOTES, CEBU",1,1," ",1,"",99,"DIN006","","","","","TUDELA, CAMOTES, CEBU","","","TUDELA, CAMOTES, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
673,"DIN STORE - SAN JULIAN"," "," "," ","1990-01-01","1990-01-01",1,"SAN JULIAN, E. SAMAR",1,1," ",1,"",99,"DIN007","","","","","SAN JULIAN, E. SAMAR","","","SAN JULIAN, E. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
674,"DINDON STORE - CARMEN"," "," "," ","1990-01-01","1990-01-01",1,"CARMEN, CEBU",1,1," ",1,"",99,"DIN008","","","","","CARMEN, CEBU","","","CARMEN, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
675,"DINS STORE - VILLABA"," "," "," ","1990-01-01","1990-01-01",1,"VILLABA, LEYTE",1,1," ",1,"",99,"DIN010","","","","","VILLABA, LEYTE","","","VILLABA, LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
676,"DISCOUNT PLUS - CALBAYOG"," "," "," ","1990-01-01","1990-01-01",1,"CALBAYOG, SAMAR",1,1," ",1,"",99,"DIS004","","","","","CALBAYOG, SAMAR","","","CALBAYOG, SAMAR","Leyte",14,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
677,"DIVINE GIFT & SCHOOL SUPP-CATBALOGAN"," "," "," ","1990-01-01","1990-01-01",1,"CATBALOGAN, SAMAR",1,1," ",1,"",99,"DIV003","","","","","CATBALOGAN, SAMAR","","","CATBALOGAN, SAMAR","Leyte",14,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
678,"DIVINE STORE - CARMEN"," "," "," ","1990-01-01","1990-01-01",1,"CARMEN, CEBU",1,1," ",1,"",99,"DIV005","","","","","CARMEN, CEBU","","","CARMEN, CEBU","#N/A",15,"","","","","","JASON TARIAO",1,1,"0",0,""
679,"DIVINA STORE - HINUNANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINUNANGAN, LEYTE",1,1," ",1,"",99,"DIV006","","","","","HINUNANGAN, LEYTE","","","HINUNANGAN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
680,"DJ STORE - CARIGARA"," "," "," ","1990-01-01","1990-01-01",1,"CARIGARA, LEYTE",1,1," ",1,"",99,"DJ0000","","","","","CARIGARA, LEYTE","","","CARIGARA, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
681,"DJ MIX STORE - LASNAVAZ"," "," "," ","1990-01-01","1990-01-01",1,"LASNAVAZ, N.S.",1,1," ",1,"",99,"DJM000","","","","","LASNAVAZ, N.S.","","","LASNAVAZ, N.S.","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
682,"DJ STORE - SAN JOSE"," "," "," ","1990-01-01","1990-01-01",1,"SAN JOSE, N. SAMAR",1,1," ",1,"",99,"DJS002","","","","","SAN JOSE, N. SAMAR","","","SAN JOSE, N. SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
683,"D' LOVE PHARMACY - SULAT SAMAR"," "," "," ","1990-01-01","1990-01-01",1,"SULAT EASTERN SAMAR",1,1," ",1,"",99,"DLO000","","","","","SULAT EASTERN SAMAR","","","SULAT EASTERN SAMAR","Leyte",8,"","","","","","PHILIP ESCOL",1,1,"0",0,""
684,"DML PHARMACY - DAAN BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"DAAN BANTAYAN CEBU",1,1," ",1,"",99,"DML000","","","","","DAAN BANTAYAN CEBU","","","DAAN BANTAYAN CEBU","Cebu",8,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
685,"DNG CONV. STORE - BOLJOON"," "," "," ","1990-01-01","1990-01-01",1,"BOJOON CEBU",1,1," ",1,"",99,"DNG000","","","","","BOJOON CEBU","","","BOJOON CEBU","Cebu",2,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
686,"DODONG'S STORE - CONSOLACION MARKET"," "," "," ","1990-01-01","1990-01-01",1,"CONSOLACION CEBU",1,1," ",1,"",99,"DOD005","","","","","CONSOLACION CEBU","","","CONSOLACION CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
687,"DODONG STORE - BURAUEN"," "," "," ","1990-01-01","1990-01-01",1,"BURAUEN, LEYTE",1,1," ",1,"",99,"DOD010","","","","","BURAUEN, LEYTE","","","BURAUEN, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
688,"DOKY STORE - CULABA"," "," "," ","1990-01-01","1990-01-01",1,"CULABA BILIRAN LEYTE",1,1," ",1,"",99,"DOK002","","","","","CULABA BILIRAN LEYTE","","","CULABA BILIRAN LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
689,"DOLLIA 'S STORE - ALCOY"," "," "," ","1990-01-01","1990-01-01",1,"ALCOY CEBU",1,1," ",1,"",99,"DOL000","","","","","ALCOY CEBU","","","ALCOY CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
690,"DOLOR MINIMART"," "," "," ","1990-01-01","1990-01-01",1,"WARD 2 MINGLANILLA, CEBU",1,1," ",1,"",99,"DOL002","","","WARD 2 MINGLANILLA, CEBU","","","WARD 2 MINGLANILLA, CEBU","","","#N/A",10,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
691,"DOLLY ENTERPIRSE - CALUBIAN"," "," "," ","1990-01-01","1990-01-01",1,"CALUBIAN LEYTE",1,1," ",1,"",99,"DOL005","","","","","CALUBIAN LEYTE","","","CALUBIAN LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
692,"DON VILLS PHARMACY & G/M - MADRIDEJOS"," "," "," ","1990-01-01","1990-01-01",1,"MADRIDEJOS BANTAYAN CEBU",1,1," ",1,"",99,"DON004","","","","","MADRIDEJOS BANTAYAN CEBU","","","MADRIDEJOS BANTAYAN CEBU","Cebu",14,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
693,"DONG DONG STORE - CONSOLACION"," "," "," ","1990-01-01","1990-01-01",1,"CONSOLACION,CEBU",1,1," ",1,"",99,"DON005","","","","","CONSOLACION,CEBU","","","CONSOLACION,CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
694,"DONNA JANE STORE - PATAO BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"PATAO BANTAYAN ISLAND",1,1," ",1,"",99,"DON007","","","","","PATAO BANTAYAN ISLAND","","","PATAO BANTAYAN ISLAND","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
695,"DON DON STORE - BORBON"," "," "," ","1990-01-01","1990-01-01",1,"BORBON CEBU",1,1," ",1,"",99,"DON011","","","","","BORBON CEBU","","","BORBON CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
696,"DONAS PHARMACY - DAAN. BANTAYAN"," "," "," ","1990-01-01","1990-01-01",1,"DAAN BANTAYAN CEBU",1,1," ",1,"",99,"DON013","","","","","DAAN BANTAYAN CEBU","","","DAAN BANTAYAN CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
697,"DONQUE STORE - SAMBOAN"," "," "," ","1990-01-01","1990-01-01",1,"SAMBOAN CEBU",1,1," ",1,"",99,"DON016","","","","","SAMBOAN CEBU","","","SAMBOAN CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
698,"DON DON STORE - CALBIGA"," "," "," ","1990-01-01","1990-01-01",1,"CALBIGA WESTERN SAMAR",1,1," ",1,"",99,"DON018","","","","","CALBIGA WESTERN SAMAR","","","CALBIGA WESTERN SAMAR","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
699,"DON JAIME G/M - MINGLANILLA"," "," "," ","1990-01-01","1990-01-01",1,"MINGLANILLA, CEBU",1,1," ",1,"",99,"DON022","","","","","MINGLANILLA, CEBU","","","MINGLANILLA, CEBU","Cebu",14,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
700,"D ORANGE STORE - TALISAY"," "," "," ","1990-01-01","1990-01-01",1,"TALISAY CITY",1,1," ",1,"",99,"DOR008","","","","","TALISAY CITY","","","TALISAY CITY","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
701,"DOUBLE R STORE- HINDANG"," "," "," ","1990-01-01","1990-01-01",1,"HINDANG LEYTE",1,1," ",1,"",99,"DOU001","","","","","HINDANG LEYTE","","","HINDANG LEYTE","Leyte",11,"","","","","","PHILIP ESCOL",1,1,"0",0,""
702,"DOUBLE R GROCERY - MALITBOG"," "," "," ","1990-01-01","1990-01-01",1,"MALITBOG LEYTE",1,1," ",1,"",99,"DOU002","","","","","MALITBOG LEYTE","","","MALITBOG LEYTE","Leyte",11,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
703,"DOY & MEL STORE- HINABANGA"," "," "," ","1990-01-01","1990-01-01",1,"HINABANGA LEYTE",1,1," ",1,"",99,"DOY004","","","","HINABANGA LEYTE","","","HINABANGA LEYTE","","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
704,"D RENZ STORE - PASTRANA"," "," "," ","1990-01-01","1990-01-01",1,"PASTRANA, LEYTE",1,1," ",1,"",99,"DRE001","","","","","PASTRANA, LEYTE","","","PASTRANA, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
705,"D SHAIZOL - HINUNANGAN"," "," "," ","1990-01-01","1990-01-01",1,"HINUNANGAN, SO. LEYTE",1,1," ",1,"",99,"DSH000","","","","","HINUNANGAN, SO. LEYTE","","","HINUNANGAN, SO. LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
706,"D. SHIAZOL STORE - ANAHAWAN"," "," "," ","1990-01-01","1990-01-01",1,"ANAHAWAN, SO. LEYTE",1,1," ",1,"",99,"DSH001","","","","","ANAHAWAN, SO. LEYTE","","","ANAHAWAN, SO. LEYTE","Leyte",15,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
707,"DS STORE - TAFT"," "," "," ","1990-01-01","1990-01-01",1,"TAFT, LEYTE",1,1," ",1,"",99,"DSS000","","","","","TAFT, LEYTE","","","TAFT, LEYTE","Leyte",20,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
708,"DUCAY STORE - PINAMUNGAHAN"," "," "," ","1990-01-01","1990-01-01",1,"PINAMUNGAHAN CEBU",1,1," ",1,"",99,"DUC000","","","","","PINAMUNGAHAN CEBU","","","PINAMUNGAHAN CEBU","Cebu",7,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
709,"DUCENA STORE - QUINPONDAN"," "," "," ","1990-01-01","1990-01-01",1,"QUINAPONDAN, SAMAR",1,1," ",1,"",99,"DUC001","","","","","QUINAPONDAN, SAMAR","","","QUINAPONDAN, SAMAR","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
710,"DUFFOL STORE- PARANAS"," "," "," ","1990-01-01","1990-01-01",1,"PARANAS, LEYTE",1,1," ",1,"",99,"DUF000","","","","","PARANAS, LEYTE","","","PARANAS, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
711,"DUGANG ENTERPRISES"," "," "," ","1990-01-01","1990-01-01",1,"CALUBIAN, LEYTE",1,1," ",1,"",99,"DUG000","","","","","CALUBIAN, LEYTE","","","CALUBIAN, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
712,"DULAG PHARMACY - DULAG"," "," "," ","1990-01-01","1990-01-01",1,"DULAG LEYTE",1,1," ",1,"",99,"DUL001","","","","","DULAG LEYTE","","","DULAG LEYTE","Leyte",8,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
713,"DUNN'S CONV. STORE - HILONGOS"," "," "," ","1990-01-01","1990-01-01",1,"HILONGOS LEYTE",1,1," ",1,"",99,"DUN001","","","","","HILONGOS LEYTE","","","HILONGOS LEYTE","Leyte",2,"","","","","","PHILIP ESCOL",1,1,"0",0,""
714,"DUTTERTE G.M - GINATILAN"," "," "," ","1990-01-01","1990-01-01",1,"GENATILAN CEBU",1,1," ",1,"",99,"DUT000","","","","","GENATILAN CEBU","","","GENATILAN CEBU","Cebu",14,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
715,"D' VILLAGE BOAT CONVENIENCE CENTER"," "," "," ","1990-01-01","1990-01-01",1,"LAWAAN TALISAYTALISAY",1,1," ",1,"",99,"DVI000","","","LAWAAN TALISAY","","TALISAY","LAWAAN TALISAY","","TALISAY","#N/A",3,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
716,"DWIGHT STORE - MALABUYOC"," "," "," ","1990-01-01","1990-01-01",1,"MALABUYOC CEBU",1,1," ",1,"",99,"DWI000","","","","","MALABUYOC CEBU","","","MALABUYOC CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
717,"E1 PRIME 1"," "," "," ","1990-01-01","1990-01-01",1,"TANGKE TALISAY",1,1," ",1,"",99,"E1P000","","","TANGKE TALISAY","","","TANGKE TALISAY","","","#N/A",14,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
718,"E1 PRIME 2"," "," "," ","1990-01-01","1990-01-01",1,"TANGKE TALISAY",1,1," ",1,"",99,"E1P001","","","TANGKE TALISAY","","","TANGKE TALISAY","","","#N/A",16,"","","","","","ROEL DEL CARMEN",1,1,"0",0,""
719,"EA GEN. MDSE. - ISABEL"," "," "," ","1990-01-01","1990-01-01",1,"ISABEL LEYTE",1,1," ",1,"",99,"EAG000","","","","","ISABEL LEYTE","","","ISABEL LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
720,"EARL CONVENIENCE STORE - PARANAS"," "," "," ","1990-01-01","1990-01-01",1,"PARAN, W. SAMAR",1,1," ",1,"",99,"EAR003","","","","","PARAN, W. SAMAR","","","PARAN, W. SAMAR","Leyte",3,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
721,"EAST TOWN STORE- ALANG ALANG"," "," "," ","1990-01-01","1990-01-01",1,"ALANG ALANG LEYTE",1,1," ",1,"",99,"EAS003","","","","","ALANG ALANG LEYTE","","","ALANG ALANG LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
722,"EAST FRANK CONVENIENCE - HILONGOS"," "," "," ","1990-01-01","1990-01-01",1,"POBLACION HILONGOS LEYTE",1,1," ",1,"",99,"EAS005","","","","","POBLACION HILONGOS LEYTE","","","POBLACION HILONGOS LEYTE","Leyte",2,"","","","","","PHILIP ESCOL",1,1,"0",0,""
723,"EAST PHARMACY - ORAS"," "," "," ","1990-01-01","1990-01-01",1,"ORAS EASTERN SAMAR",1,1," ",1,"",99,"EAS006","","","","","ORAS EASTERN SAMAR","","","ORAS EASTERN SAMAR","Leyte",8,"","","","","","JOSEPH ROMERO",1,1,"0",0,""
724,"EBBIE STORE - ST. BERNARD"," "," "," ","1990-01-01","1990-01-01",1,"ST. BERNARD, LEYTE",1,1," ",1,"",99,"EBB001","","","","","ST. BERNARD, LEYTE","","","ST. BERNARD, LEYTE","Leyte",15,"","","","","","JOHN LIFFORD ABINGAN",1,1,"0",0,""
725,"EBERT STORE - BALAMBAN"," "," "," ","1990-01-01","1990-01-01",1,"BALAMBAN CEBU",1,1," ",1,"",99,"EBE000","","","","","BALAMBAN CEBU","","","BALAMBAN CEBU","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
726,"ECIBIT G/M - TABOGON"," "," "," ","1990-01-01","1990-01-01",1,"TABOGON, CEBU",1,1," ",1,"",99,"ECI000","","","","","TABOGON, CEBU","","","TABOGON, CEBU","Cebu",15,"","","","","","CARL MONRAY GABASA",1,1,"0",0,""
727,"EC STORE"," "," "," ","1990-01-01","1990-01-01",1,"LEYSON COMPOUND",1,1," ",1,"",99,"ECS000","","","","","LEYSON COMPOUND","","","LEYSON COMPOUND","Cebu",15,"","","","","","DARCY ENJAMBRE",1,1,"0",0,""
728,"EC STORE - BATO"," "," "," ","1990-01-01","1990-01-01",1,"BATO, LEYTE",1,1," ",1,"",99,"ECS001","","","","","BATO, LEYTE","","","BATO, LEYTE","Leyte",15,"","","","","","PHILIP ESCOL",1,1,"0",0,""
